bucket,raw_name,event_type,description
rebound,Aces,rebound,Aces defensive rebound
foul_committed,Temi,shootingfoul,Temi Fágbénlé shooting foul (A'ja Wilson draws the foul)
foul_committed,NaLyssa,shootingfoul,NaLyssa Smith shooting foul (Tiffany Hayes draws the foul)
turnover,Aces,turnover,Aces turnover (shot clock violation)
rebound,Aces,rebound,Aces defensive rebound
foul_committed,Temi,shootingfoul,Temi Fágbénlé shooting foul (A'ja Wilson draws the foul)
foul_committed,Veronica,shootingfoul,Veronica Burton shooting foul (A'ja Wilson draws the foul)
foul_committed,A'ja,shootingfoul,A'ja Wilson shooting foul (Janelle Salaün draws the foul)
foul_committed,Jackie,personalfoul,Jackie Young personal foul (Temi Fágbénlé draws the foul)
foul_committed,Jackie,personalfoul,Jackie Young personal foul (Tiffany Hayes draws the foul)
foul_committed,Temi,offensivefoul,Temi Fágbénlé offensive foul (A'ja Wilson draws the foul)
foul_committed,A'ja,offensivefoul,A'ja Wilson offensive foul (Charge) (Veronica Burton draws the foul)
foul_committed,Iliana,personalfoul,Iliana Rupert personal foul (A'ja Wilson draws the foul)
foul_committed,A'ja,shootingfoul,A'ja Wilson shooting foul (Cecilia Zandalasini draws the foul)
foul_committed,Iliana,offensivefoul,Iliana Rupert offensive foul (Aaliyah Nye draws the foul)
foul_committed,Carla,personalfoul,Carla Leite personal foul (Dana Evans draws the foul)
rebound,Aces,rebound,Aces offensive rebound
turnover,Aces,turnover,Aces turnover (shot clock violation)
foul_committed,Dana,personalfoul,Dana Evans personal foul (Carla Leite draws the foul)
rebound,Aces,rebound,Aces defensive rebound
foul_committed,Janelle,personalfoul,Janelle Salaün personal foul (Loose ball) (Jewell Loyd draws the foul)
foul_committed,NaLyssa,personalfoul,NaLyssa Smith personal foul (Temi Fágbénlé draws the foul)
foul_committed,Jewell,personalfoul,Jewell Loyd personal foul (Tiffany Hayes draws the foul)
foul_committed,NaLyssa,shootingfoul,NaLyssa Smith shooting foul (Tiffany Hayes draws the foul)
foul_committed,Carla,shootingfoul,Carla Leite shooting foul (Jackie Young draws the foul)
foul_committed,Carla,shootingfoul,Carla Leite shooting foul (Jewell Loyd draws the foul)
rebound,Aces,rebound,Aces offensive rebound
foul_committed,Jackie,personalfoul,Jackie Young personal foul (Janelle Salaün draws the foul)
rebound,Aces,rebound,Aces defensive rebound
foul_committed,Janelle,shootingfoul,Janelle Salaün shooting foul (A'ja Wilson draws the foul)
foul_committed,Chelsea,shootingfoul,Chelsea Gray shooting foul (Tiffany Hayes draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
rebound,Aces,rebound,Aces offensive rebound
foul_committed,Janelle,personalfoul,Janelle Salaün personal foul (Loose ball) (NaLyssa Smith draws the foul)
rebound,Aces,rebound,Aces offensive rebound
foul_committed,Janelle,shootingfoul,Janelle Salaün shooting foul (Chelsea Gray draws the foul)
rebound,Aces,rebound,Aces offensive rebound
foul_committed,Tiffany,shootingfoul,Tiffany Hayes shooting foul (A'ja Wilson draws the foul)
foul_committed,Cecilia,personalfoul,Cecilia Zandalasini personal foul (A'ja Wilson draws the foul)
foul_committed,Alysha,shootingfoul,Alysha Clark shooting foul (Brittney Sykes draws the foul)
foul_committed,Dominique,shootingfoul,Dominique Malonga shooting foul (Shakira Austin draws the foul)
rebound,Mystics,rebound,Mystics offensive rebound
foul_committed,Skylar,personalfoul,Skylar Diggins personal foul (Shakira Austin draws the foul)
rebound,Mystics,rebound,Mystics offensive rebound
turnover,Mystics,turnover,Mystics turnover (shot clock violation)
foul_committed,Dominique,shootingfoul,Dominique Malonga shooting foul (Stefanie Dolson draws the foul)
rebound,Mystics,rebound,Mystics offensive rebound
rebound,Storm,rebound,Storm defensive rebound
foul_committed,Ezi,shootingfoul,Ezi Magbegor shooting foul (Jade Melbourne draws the foul)
